,Restaurant,Inspection Date,Inspection Score,Street Address,Zip,Lat,Long,G.Lat,G.Long
3744,PRESSBOX,03/07/2019,100,508 W SEVENTH ST,75201,32.790079999999996,-96.811316,32.7487559,-96.83068449999999
3826,RAUL QUINTANILLA,12/02/2019,100,6011 ROYAL LN,75211,32.764066,-96.866136,32.8951268,-96.8033047
3833,RBC,09/04/2019,100,5707 ROYAL LN,75226,34.72303,-92.269087,32.8954213,-96.8112355
3855,REILLY ELEMENTARY SCHOOL,05/22/2019,100,12404 PARK CENTRAL DR #110,75218,32.855738,-96.689048,32.9171684,-96.7752828
3867,RESIDENCE INN BY MARRIOTT,12/02/2019,100,9750 WALNUT ST #170,75211,0.0,0.0,32.9228378,-96.7204773
3914,RITZ CARLTON HOTEL - EMPLOYEE DINNING,11/11/2019,100,3662 W CAMP WISDOM RD #1074,75201,32.792274,-96.80305899999999,32.6594341,-96.87678799999999
3915,RITZ CARLTON HOTEL - GIFT SHOP,11/11/2019,100,3662 W CAMP WISDOM RD #2023,75201,32.792274,-96.80305899999999,32.659532,-96.87880969999999
3925,RITZ CARLTON HOTEL-OUTDOOR BAR,11/11/2019,100,3699 MCKINNEY AVE 300-C,75201,32.792274,-96.80305899999999,32.8082909,-96.7973435
3926,RITZ CARLTON HOTEL-SPA,11/11/2019,100,3699 MCKINNEY AVE 307,75201,32.792274,-96.80305899999999,32.8082909,-96.7973435
3932,ROBBIES PLACE,02/27/2019,100,1545 S EWING AVE,75207,32.764344,-96.801749,32.7281176,-96.81274150000002
3951,ROSE MARIE HAGGAR ELEM SC,08/21/2019,100,2801 W CLARENDON DR,75252,32.99537,-96.80581,32.7348711,-96.86671319999999
3952,ROSE MARIE HAGGAR ELEM SC,02/12/2019,100,2802 E LEDBETTER DR,75252,32.99537,-96.80581,32.6931627,-96.7741396
3983,RUNWAY CAFE,07/22/2019,100,3439 OAK LAWN AVE,75207,32.801934,-96.825878,32.8119691,-96.80606759999999
3984,RUNWAY CAFE,01/10/2019,100,3441 FOREST LN,75207,32.801934,-96.825878,32.9101025,-96.8625246
4004,SAGE @ THE HOCKADAY SCHOOL,09/30/2019,100,1401 COMMERCE ST,75229,32.907792,-96.829635,32.7801656,-96.7990602
4007,SAGE DINING SVC,03/21/2019,100,2500 VICTORY AVE ADML #4111,75248,32.96335,-96.786302,32.7903143,-96.810148
4048,SAMUELL GRAND PARK POOL-CONCESSION STAND,06/29/2019,100,8008 CEDAR SPRINGS RD C2452,75201,32.792938,-96.744297,32.8159973,-96.817484
4069,SANDWICH HAG,02/12/2019,100,306 E SANER AVE,75215,32.765446999999995,-96.790564,32.7130234,-96.8201318
4128,SERVICE KING CLUB,02/19/2019,100,5001 S BUCKNER BLVD,75201,32.790079999999996,-96.811316,32.7849841,-96.68419
4134,SHAPE UP,01/16/2019,100,2330 FLORA ST #170,75254,32.951326,-96.803474,32.7895254,-96.79774479999999
4205,SMOKE STACC,04/29/2019,100,5801 E NORTHWEST HWY,75215,32.764421,-96.780464,32.8655673,-96.7645044
4232,SONIC,10/11/2019,100,10190 FOREST LN #125,75207,32.765578000000005,-96.80292800000001,32.9086557,-96.709893
4234,SONIC,03/18/2019,100,102 E JEFFERSON BLVD,75207,32.765578000000005,-96.80292800000001,32.7433744,-96.82226469999999
4280,SOUTHERN MAID DONUTS,02/25/2019,100,13555 PRESTON RD,75218,32.834265,-96.702851,32.9324055,-96.8039953
4287,SOUTHWEST AIRLINE (GRAB & GO),11/25/2019,100,3750 FOREST LN,75235,32.842225,-96.866856,32.9091673,-96.8544244
4290,SOUTHWEST AIRLINES (COFFEE BAR),11/25/2019,100,3751 FOREST LN,75235,32.842225,-96.866856,32.910235,-96.85370449999999
4309,SPORTS BAR,04/25/2019,100,11130 MALIBU DR,75247,32.826924,-96.88703000000001,32.8848504,-96.8999693
4319,SPRING VALLEY ELEM,04/05/2019,100,211 N ERVAY ST STE LL100,75240,32.932846000000005,-96.774598,32.782182,-96.7975999
4321,SPRINGHILL SUITES,01/24/2019,100,4440 W ILLINOIS AVE 400-A,75220,32.859738,-96.889626,32.7196481,-96.8555385
4328,SSS INTERNATIONAL INC,02/06/2019,100,1101 S WALTON WALKER BLVD #101,75211,32.755568,-96.873999,32.734161,-96.92041139999999
4329,ST ANTHONY'S SCHOOL,12/11/2019,100,611 W JEFFERSON BLVD B,75215,32.76192,-96.761514,32.7442105,-96.83318229999999
4331,ST AUGUSTINE CATHOLIC CHU,05/23/2019,100,11333 GARLAND RD,75217,30.839415000000002,-83.319445,32.8494029,-96.68361809999999
4350,ST RITA'S KITCHEN,03/22/2019,100,18101 COIT RD,75234,32.920155,-96.81868399999999,32.9980523,-96.7683667
4380,STARBUCKS COFFEE #9539,01/31/2019,100,4140 LEMMON AVE #176,75220,32.861675,-96.891372,32.8155824,-96.80934789999999
4386,STATE FAIR OF TEXAS,05/30/2019,100,2500 VICTORY AVE TERR #5028,75210,0.0,0.0,32.7903143,-96.810148
4403,STELLA NORA (ROOF TOP BAR),09/26/2019,100,3210 W ILLINOIS AVE,75206,32.813621000000005,-96.7702,32.7201345,-96.872839
4410,STERLING HOTEL BANQUET,10/22/2019,100,1117 W CAMP WISDOM RD,75247,32.826924,-96.88703000000001,32.6629796,-96.84064839999999
4412,STERLING HOTEL LOBBY BAR,11/01/2019,100,11180 HARRY HINES BLVD #108,75247,32.826924,-96.88703000000001,32.8884828,-96.8875108
4413,STERLING HOTEL LOBBY BAR,10/22/2019,100,11181 DENTON DR #108,75247,32.826924,-96.88703000000001,32.88879,-96.88672009999999
4415,STERLING HOTEL THE GREENWAY,04/25/2019,100,112 N COLLETT AVE #156,75247,32.826924,-96.88703000000001,32.7970562,-96.76212629999999
4422,STIRR,07/29/2019,100,655 W ILLINOIS AVE #303,75226,43.279126,-78.705137,32.7222271,-96.8316916
4423,STIRR,01/30/2019,100,655 W ILLINOIS AVE #718,75226,43.279126,-78.705137,32.7222271,-96.8316916
4449,STREETLIGHTS UNION BAR,12/31/2019,100,4275 W NORTHWEST HWY,75201,32.789735,-96.80541600000001,32.8641876,-96.83687959999999
4507,SUNSET HIGH SCHOOL,11/07/2019,100,3650 N BUCKNER BLVD 100,75211,34.025545,-118.31869099999999,32.8010285,-96.68127129999999
4534,SUPER TARGET #1775 FAST FOOD,12/06/2019,100,2602 W ILLINOIS AVE,75248,32.982831,-96.76820699999999,32.7199663,-96.8630483
4535,SUPER TARGET #1775 STARBUCKS,12/06/2019,100,2603 ROUTH ST #A,75248,32.982831,-96.76820699999999,32.7964044,-96.8022372
4568,T BONE PICKENS,12/12/2019,100,1802 GREENVILLE AVE #110,75251,32.919434,-96.77314399999999,32.812305,-96.7699006
4767,TERRACE #5009 GRILL ZONE 310,02/14/2019,100,521 W DAVIS ST,75201,27.281226,-80.27501099999999,32.749665,-96.8313434
4768,TERRACE #5013 PIZZA HUT 312,02/14/2019,100,5211 FOREST LN #108,75201,27.281226,-80.27501099999999,32.9104969,-96.8176069
4769,TERRACE #5015 DR. PEPPER PLANT,02/14/2019,100,5209 S LAMAR ST,75201,27.281226,-80.27501099999999,32.7439182,-96.76032649999999
4770,TERRACE #5024 HOT POPPED AND TWISTED 317,02/14/2019,100,5214 S LAMAR ST,75201,27.281226,-80.27501099999999,32.743863,-96.7593946
4773,TERRACE #5038 FAST BREAK 324,02/14/2019,100,5218 KIWANIS RD,75201,27.281226,-80.27501099999999,32.685452,-96.933618
4775,TERRACE #5044 MOTLEY PUB 327,02/14/2019,100,5220 NOMAS ST,75201,27.281226,-80.27501099999999,32.7816953,-96.90824549999999
4776,TERRACE #5052 STAMPEDE STATION 334,02/14/2019,100,5221 W JEFFERSON BLVD,75201,27.281226,-80.27501099999999,34.0258533,-118.3587045
4778,TERRACE #5056 HOT POPPED AND TWISTED 302,02/14/2019,100,5225 BELTLINE RD #240,75201,27.281226,-80.27501099999999,32.9546746,-96.8174386
4780,TERRACE #5064 MOTLEY PUB 308,02/14/2019,100,5225 BELTLINE RD #254,75201,27.281226,-80.27501099999999,32.9546746,-96.8174386
4823,THE CATERING COMPANY,08/22/2019,100,2222 MCKINNEY AVE STE #200,75203,32.761064000000005,-96.817275,32.7931158,-96.80219559999999
4834,THE CRESCENT CLUB (SUITE 1700),07/18/2019,100,3275 S POLK ST,75201,40.709827000000004,-80.14265,32.7050673,-96.84043899999999
4844,THE DUMP - THE DUMP,02/19/2019,100,5111 GREENVILLE AVE #140,75201,32.790079999999996,-96.811316,32.84955619999999,-96.7709005
4847,THE EMPANADA COOKHOUSE,08/19/2019,100,1310 S BUCKNER BLVD,75229,32.90537,-96.886641,32.7345884,-96.6826081
4889,THE MANHATTEN CLUB,09/25/2019,100,6124 LEMMON AVE,75215,32.774483000000004,-96.767653,32.8336628,-96.82896919999999
