restaurant_name,inspection_type,inspection_date,inspection_score,zip_code,street_address,inspection_month,inspection_year
REX'S SEAFOOD,Routine,04/18/2019,88,75225,6713 W NORTHWEST HWY,Apr 2019,FY2019
PLUCKERS WING BAR,Routine,10/24/2017,87,75206,5500 GREENVILLE AVE #406,Oct 2017,FY2018
TACOS SAN LUIS,Routine,06/04/2018,81,75237,3662 W CAMP WISDOM RD #2023,Jun 2018,FY2018
TORTAS Y TACOS EL JALALITO,Routine,07/17/2018,92,75211,5102 W DAVIS ST,Jul 2018,FY2018
GATEWAY,Routine,02/27/2019,92,75230,12123 HILLCREST RD,Feb 2019,FY2019
UNREFINED BAKERY,Routine,04/11/2018,91,75214,6464 E NORTHWEST HWY #326,Apr 2018,FY2018
WALGREENS #07783,Routine,07/05/2017,90,75228,2301 LAKELAND DR,Jul 2017,FY2017
OISHI SUSHI,Routine,04/19/2018,94,75211,3434 W ILLINOIS AVE,Apr 2018,FY2018
AFC SUSHI #2990,Routine,04/14/2019,89,75209,7117 INWOOD RD,Apr 2019,FY2019
BENGAL FOOD STORE,Routine,10/25/2017,94,75227,3003 S BUCKNER BLVD,Oct 2017,FY2018
SPRING HILL SUITES,Routine,04/11/2019,95,75231,10111 N CENTRAL EXPW,Apr 2019,FY2019
FIESTA MART FISH MARKET,Routine,08/24/2017,94,75208,611 W JEFFERSON BLVD,Aug 2017,FY2017
LOUISIANA CRAB SHACK II,Routine,07/19/2018,71,75231,9901 ROYAL LN #100,Jul 2018,FY2018
THE CORNER MARKET,Routine,02/27/2017,89,75206,3426 GREENVILLE AVE,Feb 2017,FY2017
HOTEL MAGNOLIA,Routine,06/27/2018,93,75201,1401 COMMERCE ST,Jun 2018,FY2018
CLUB DADA,Routine,08/17/2018,95,75226,2720 ELM ST #101,Aug 2018,FY2018
7-SEVEN BEVERAGE STORE,Routine,04/20/2018,98,75220,9500 WEBB CHAPEL RD,Apr 2018,FY2018
LION FOOD MART,Routine,04/21/2017,83,75214,7272 GASTON AVE,Apr 2017,FY2017
SUBWAY SANDWICH SHOP #3,Routine,01/02/2018,94,75226,2609 ELM ST,Jan 2018,FY2018
CHILDREN'S -TOWER 111B,Routine,07/06/2017,93,75235,1935 MEDICAL DISTRICT DR,Jul 2017,FY2017
FAMILY DOLLAR STORE #7627,Routine,09/21/2017,98,75217,620 N JIM MILLER RD,Sep 2017,FY2017
PALETERIA Y TAQUERIA TREBOL,Routine,05/03/2018,89,75223,4902 E GRAND AVE,May 2018,FY2018
CORRIENTES 348,Routine,08/04/2017,96,75201,1807 ROSS AVE #200,Aug 2017,FY2017
CICI'S PIZZA,Routine,07/21/2017,87,75234,3128 FOREST LN STE #211,Jul 2017,FY2017
CARMINE'S PIZZERIA,Routine,02/27/2017,74,75201,2006 SAN JACINTO ST #100,Feb 2017,FY2017
SHELL EMPIRE,Routine,10/13/2016,96,75247,8390 N STEMMONS FRWY #B,Oct 2016,FY2017
7-ELEVEN #37014A,Routine,04/15/2017,84,75202,1502 ELM ST,Apr 2017,FY2017
"TRAVEL CENTERS OF AMERICA, PETRO 0150",Routine,04/16/2019,80,75241,7751 BONNIE VIEW RD,Apr 2019,FY2019
PERIDOT COFFEE,Routine,06/26/2017,94,75229,2240 ROYAL LN #101,Jun 2017,FY2017
TARGET/STARBUCKS,Routine,05/15/2017,90,75240,13131 MONTFORT DR #100,May 2017,FY2017
FAITH FAMILY ACADEMY,Routine,09/27/2018,93,75224,300 W KIEST BLVD,Sep 2018,FY2018
QUIKTRIP,Routine,01/04/2017,87,75243,9500 FOREST LN,Jan 2017,FY2017
7-11CONVENIENCE STORE #34111,Routine,08/16/2017,88,75248,14801 COIT RD,Aug 2017,FY2017
PIZZA PATRON #0050,Routine,01/03/2018,97,75238,2519 S HAMPTON RD,Jan 2018,FY2018
CHEVRON FUEL TOWN,Routine,03/16/2017,81,75217,8000 GREAT TRINTIY FOREST PKWY,Mar 2017,FY2017
ZARAGOZA ELEMENTARYSCHOOL,Routine,11/13/2018,91,75246,4550 WORTH ST,Nov 2018,FY2019
SHOOTERS IN VICTORY,Routine,01/30/2018,84,75204,3030 OLIVE ST #105,Jan 2018,FY2018
HARD ROCK CAFE,Routine,04/04/2017,90,75202,2211 N HOUSTON ST,Apr 2017,FY2017
LAKEWOOD LANDING,Routine,10/29/2018,83,75214,5818 LIVE OAK ST,Oct 2018,FY2019
OLD CHICAGO RESTAURANT,Routine,08/29/2018,93,75206,5319 E MOCKINGBIRD LN STE #100,Aug 2018,FY2018
GOLDEN CHICK,Routine,02/20/2019,76,75238,11805 E NORTHWEST HWY,Feb 2019,FY2019
LA AZTECA MEAT MARKET #11,Routine,01/25/2019,85,75226,4611 COLUMBIA AVE #103,Jan 2019,FY2019
TEPA BAR & GRILL,Routine,07/10/2018,88,75208,428 S HAMPTON RD,Jul 2018,FY2018
ANGELIKA FILM CENTER,Routine,07/21/2017,95,75206,5321 E MOCKINGBIRD LN #201A,Jul 2017,FY2017
RBC,Routine,03/09/2018,96,75226,2617 COMMERCE ST,Mar 2018,FY2018
MONTESSORI ACADEMY AT ONESIMO HERNANDEZ ELEMENTARY,Routine,10/11/2018,94,75235,5555 MAPLE AVE,Oct 2018,FY2019
TEAVANA #28351,Routine,08/21/2017,91,75231,8687 N CENTRAL EXPW #782,Aug 2017,FY2017
WINGSTOP,Routine,04/16/2018,89,75219,4411 LEMMON AVE #100,Apr 2018,FY2018
DAILY QUICK GROCERIES,Routine,11/12/2018,75,75235,1906 RECORD CROSSING RD,Nov 2018,FY2019
SUMO SHACK,Routine,05/23/2017,83,75206,5629 SMU BLVD #120,May 2017,FY2017
LOS GARCIA'S RESTAURANT,Routine,01/12/2017,91,75220,10788 HARRY HINES BLVD #G18,Jan 2017,FY2017
HARLOWE MXM (LEFT),Routine,08/17/2018,91,75226,2823 MAIN ST,Aug 2018,FY2018
OUMI SUSHI @SPROUTS 126,Routine,06/19/2017,95,75206,1800 N HENDERSON AVE,Jun 2017,FY2017
1.00 PLUS STORE,Routine,01/13/2017,96,75227,6102 SAMUELL BLVD #104,Jan 2017,FY2017
SUBSTANCE ORGANIC JUICERY,Routine,10/25/2018,94,75231,9669 N CENTRAL EXPW #190,Oct 2018,FY2019
HIGHLAND DALLAS - KNIFE,Routine,01/25/2017,80,75206,5300 E MOCKINGBIRD LN,Jan 2017,FY2017
LAKE HOUSE,Routine,04/05/2018,83,75238,7510 E NORTHWEST HWY,Apr 2018,FY2018
MCDONALDS,Routine,06/28/2017,94,75211,450 N MERRIFIELD RD,Jun 2017,FY2017
LOUISIANA CRAB SHACK II,Routine,01/04/2017,89,75231,9901 ROYAL LN #100,Jan 2017,FY2017
HYATT REGENCY BANQUET KITCHEN,Routine,04/25/2019,96,75202,300 REUNION BLVD,Apr 2019,FY2019
SNUFFER'S,Follow-up,11/22/2016,80,75225,8411 PRESTON RD #112,Nov 2016,FY2017
WAL-MART #5931 MEAT &FISH,Routine,12/01/2017,98,75243,13739 N CENTRAL EXPW,Dec 2017,FY2018
TACOZ TOLUKA,Routine,10/04/2017,80,75220,10886 HARRY HINES BLVD,Oct 2017,FY2018
ANNE FRANK ELEMENTARY SCHOOL,Routine,09/01/2017,99,75240,5201 CELESTIAL RD,Sep 2017,FY2017
KONNI'S KORNER,Routine,12/17/2018,86,75243,12801 N CENTRAL EXPW #190,Dec 2018,FY2019
J N ERVIN ELEMENTARY,Routine,11/13/2018,91,75241,3722 BLACK OAK DR,Nov 2018,FY2019
HOTEL ZAZA DRAGONFLY,Routine,10/26/2017,98,75201,2332 LEONARD ST,Oct 2017,FY2018
HEB CENTRAL MKT/FISH,Routine,04/04/2017,95,75230,10720 PRESTON RD STE #1018,Apr 2017,FY2017
RUBEN GROCERY,Routine,11/26/2018,64,75241,1207 E RED BIRD LN,Nov 2018,FY2019
MUQADAS BAKERY AND RESTAURANT,Routine,04/11/2017,82,75243,13440 TI BLVD #1A,Apr 2017,FY2017
THE ORIGINAL PANCAKE HOUS,Routine,03/23/2017,85,75219,2900 LEMMON AVE,Mar 2017,FY2017
CRAZY COCO,Routine,11/21/2018,89,75220,9625 WEBB CHAPEL RD #100,Nov 2018,FY2019
FIESTA MART #65 SEAFOOD DEPT,Routine,06/14/2017,89,75224,2225 W LEDBETTER DR,Jun 2017,FY2017
BUILDING 3,Routine,02/28/2019,93,75215,2815 S ERVAY ST BLDG #3,Feb 2019,FY2019
JOHN NEELY BRYAN ELEM SCHOOL,Routine,09/26/2017,93,75216,2001 DEER PATH DR,Sep 2017,FY2017
DANTE'S ITALIAN EATERY,Routine,05/27/2017,80,75243,12101 GREENVILLE AVE #100,May 2017,FY2017
POLLO POLLO,Routine,06/27/2018,81,75217,1624 S BUCKNER BLVD,Jun 2018,FY2018
FIESTA MART #34,Routine,06/06/2018,80,75208,3030 S LANCASTER RD,Jun 2018,FY2018
FAMILY DOLLAR #6711,Routine,06/13/2018,97,75227,3921 S BUCKNER BLVD,Jun 2018,FY2018
HEB CENTRAL MARKET GROCERY/PRODUCE,Routine,11/27/2017,100,75230,10720 PRESTON RD STE #1018,Nov 2017,FY2018
LET'S ROLL ICE CREAM SHOP,Routine,02/28/2019,83,75226,3101 COMMERCE ST #102,Feb 2019,FY2019
CHEMITAS,Routine,04/22/2019,96,75208,835 W JEFFERSON BLVD,Apr 2019,FY2019
JAIME,Routine,01/14/2019,93,75253,14774 LASATER RD,Jan 2019,FY2019
IN THE SACK,Routine,10/05/2017,96,75202,1700 CEDAR SPRINGS RD,Oct 2017,FY2018
BC ICE CREAM # 3,Routine,04/21/2018,95,75211,735 N WESTMORELAND RD 210,Apr 2018,FY2018
TACOS PANCHO,Routine,12/12/2016,90,75220,10245 HARRY HINES BLVD,Dec 2016,FY2017
1600 PACIFIC SUB TENANT LLC,Routine,11/30/2018,92,75201,1600 PACIFIC AVE 5THFL,Nov 2018,FY2019
GIGI'S CUPCAKES,Routine,10/10/2017,96,75209,5450 W LOVERS LN #130,Oct 2017,FY2018
KFC,Routine,09/18/2018,94,75254,5240 SPRING VALLEY RD,Sep 2018,FY2018
WENDY'S,Routine,12/06/2016,91,75234,3790 FOREST LN,Dec 2016,FY2017
KBHCC DISHWASHING AREA,Routine,02/14/2017,97,75202,650 S GRIFFIN ST,Feb 2017,FY2017
TAQUERIA GARIBALDI,Routine,07/05/2018,96,75220,3383 LOMBARDY LN STE B,Jul 2018,FY2018
A STEP UP,Routine,02/14/2018,97,75229,3720 WALNUT HILL LN #115,Feb 2018,FY2018
KNIGHT ELEMENTARY,Routine,03/22/2017,94,75235,2615 ANSON AVE,Mar 2017,FY2017
DALLAS FISH MARKET & CHOP HOUSE BURGER,Routine,08/24/2017,83,75201,1501 MAIN ST #FL1,Aug 2017,FY2017
CASHSAVER BAKERY,Routine,02/14/2018,84,75232,1201 W CAMP WISDOM RD,Feb 2018,FY2018
DALLAS ACADEMY,Routine,11/15/2017,92,75218,950 TIFFANY WAY,Nov 2017,FY2018
HYATT REGENCY MONDUEL'S,Routine,10/22/2017,97,75202,300 REUNION BLVD,Oct 2017,FY2018
FUEL TOWN #2 TAQUERIA,Routine,03/09/2019,91,75247,1525 INWOOD RD,Mar 2019,FY2019
ADMIRAL #4111 SUITES ADMIRAL KITCHEN,Routine,02/19/2019,96,75201,2500 VICTORY AVE ADML #4111,Feb 2019,FY2019
TANOSHI RAMEN,Routine,11/20/2018,94,75226,2724 COMMERCE ST,Nov 2018,FY2019
R & R CAFE,Routine,02/20/2019,96,75251,12377 MERIT DR #280,Feb 2019,FY2019
MCDONALDS,Routine,11/29/2017,90,75206,5403 ROSS AVE,Nov 2017,FY2018
RUBEN GROCERY,Follow-up,12/28/2018,84,75241,1207 E RED BIRD LN,Dec 2018,FY2019
THE MERCURY GRILL,Routine,10/10/2016,91,75230,11909 PRESTON RD #1418,Oct 2016,FY2017
JACK IN THE BOX,Routine,05/29/2018,89,75049,11404 GARLAND RD,May 2018,FY2018
VILLAGES OF LAKE HIGH-KITCHEN,Routine,02/19/2019,91,75238,8615 LULLWATER DR,Feb 2019,FY2019
EDUARDO MATA ELEMENTARY,Routine,11/03/2016,94,75214,7420 LA VISTA DR,Nov 2016,FY2017
VALLEY VIEW SPORTS CENTER,Routine,02/05/2018,91,75240,5702 ALPHA RD,Feb 2018,FY2018
CICI'S PIZZA,Routine,06/15/2018,96,75224,655 W ILLINOIS AVE #220,Jun 2018,FY2018
BETTY'S BEST AROUND,Routine,03/08/2018,81,75206,3607 GREENVILLE AVE #A,Mar 2018,FY2018
BIG D,Routine,11/27/2017,83,75216,2207 E LEDBETTER DR #A,Nov 2017,FY2018
PRIME MERIDIAN,Routine,03/08/2017,85,75203,650 S RL THORNTON FRWY,Mar 2017,FY2017
ARBY'S #5711,Routine,07/31/2017,81,75206,6363 GREENVILLE AVE,Jul 2017,FY2017
W.T. WHITE HIGH SCHOOL,Routine,03/27/2017,93,75244,4505 RIDGESIDE DR,Mar 2017,FY2017
THE ORION BALLROOM,Routine,07/24/2018,80,75208,400 S ZANG BLVD STE #1500,Jul 2018,FY2018
ROYAL TAQUERIA,Routine,03/12/2018,82,75229,10818 DENNIS RD #103,Mar 2018,FY2018
MALONE'S COST PLUS MEAT & FISH,Routine,05/03/2017,94,75226,4800 COLUMBIA AVE,May 2017,FY2017
S CENTRAL 1ST GAS BEER & WINE,Routine,02/07/2018,83,75215,2111 S CESAR CHAVEZ BLVD,Feb 2018,FY2018
7-ELEVEN CONVENIENCE STORE #35414B,Routine,01/10/2017,91,75248,15707 HILLCREST RD,Jan 2017,FY2017
TRES SALSAS TAQUERIA,Routine,04/11/2018,87,75227,9575 SCYENE RD 101,Apr 2018,FY2018
HENDERSON CHICKEN,Routine,10/15/2017,82,75237,4210 W CAMP WISDOM RD #100,Oct 2017,FY2018
DICKEY'S BARBEQUE,Routine,12/22/2016,95,75201,726 N HARWOOD ST,Dec 2016,FY2017
INFUSION BEER & WINE,Routine,12/03/2018,94,75281,3940 ROSEMEADE PKWY #100,Dec 2018,FY2019
VALERO CORNER STORE# 2417,Routine,11/05/2018,98,75252,7887 MCCALLUM BLVD,Nov 2018,FY2019
EL MIGUELENO CAFE,Routine,10/07/2018,73,75220,10788 HARRY HINES BLVD B-11A,Oct 2018,FY2019
HALL'S HONEY FRIED CHICKEN & BBQ,Routine,06/13/2017,81,75216,4845 S LANCASTER RD,Jun 2017,FY2017
FAMILY DOLLAR #3653,Routine,07/13/2018,94,75211,4444 W ILLINOIS AVE #216,Jul 2018,FY2018
24 HOUR STORE,Routine,03/07/2018,84,75231,8455 PARK LN,Mar 2018,FY2018
FLASHMART STORES,Routine,06/01/2017,88,75208,1805 SYLVAN AVE,Jun 2017,FY2017
D OFFICE,Routine,09/09/2018,88,75229,11353 EMERALD ST #100,Sep 2018,FY2018
S CENTRAL 1ST GAS BEER & WINE,Routine,01/31/2019,88,75215,2111 S CESAR CHAVEZ BLVD,Jan 2019,FY2019
GOOD SHEPERD EPISCOPAL SCHOOL,Routine,03/20/2017,86,75229,11110 MIDWAY RD,Mar 2017,FY2017
7-ELEVEN #35384,Routine,08/29/2017,93,75212,5910 SINGLETON BLVD,Aug 2017,FY2017
FIESTA MART #214 (BAKERY),Routine,02/23/2017,95,75212,2223 SINGLETON BLVD,Feb 2017,FY2017
DOMINO'S PIZZA #6915,Routine,07/31/2017,86,75211,1050 N WESTMORELAND #110,Jul 2017,FY2017
KFC,Routine,03/28/2018,90,75228,5877 SAMUELL BLVD,Mar 2018,FY2018
BABB'S BBQ,Routine,11/21/2017,89,75212,3015 GULDEN #105,Nov 2017,FY2018
JR'S BAR,Routine,12/07/2018,99,75219,3923 CEDAR SPRINGS RD,Dec 2018,FY2019
DALLAS NATIONAL GOLF CLUB,Routine,03/31/2017,96,75211,1515 KNOXVILLE ST,Mar 2017,FY2017
DALLAS PETRO CLUB,Routine,12/05/2018,94,75201,2200 ROSS AVE 3900,Dec 2018,FY2019
FAMILY DOLLAR #1606,Routine,08/13/2018,95,75224,3939 S POLK ST 216,Aug 2018,FY2018
FSK FOOD MART,Routine,06/20/2017,81,75220,10969 N STEMMONS FRWY,Jun 2017,FY2017
ZIO AL'S PIZZA & PASTA,Routine,12/07/2018,84,75248,15340 DALLAS PKWY #2010,Dec 2018,FY2019
BANNER PLACE SANDWICH SHOP,Routine,12/14/2016,89,75251,12770 COIT RD #160,Dec 2016,FY2017
RESTAURANTE EL VIAJERO,Routine,11/18/2016,71,75220,9516 WEBB CHAPEL RD,Nov 2016,FY2017
CRU WINE BAR & RESTAURANT,Routine,02/27/2018,82,75204,3699 MCKINNEY AVE #107,Feb 2018,FY2018
CHURCH'S CHICKEN,Routine,01/30/2018,84,75243,9363 FOREST LN,Jan 2018,FY2018
BOWEN HOUSE,Routine,01/24/2018,86,75204,2614 BOLL ST,Jan 2018,FY2018
CHINA DRAGON,Routine,01/29/2018,85,75201,650 N PEARL EXPW #FC4,Jan 2018,FY2018
DIVINOS PIZZARIA,Routine,02/21/2018,80,75246,4201 GASTON AVE STE #104,Feb 2018,FY2018
HAVANA ROOM SOCIAL CLUB,Routine,03/24/2017,89,75219,3030 OLIVE ST #103,Mar 2017,FY2017
BELLINI'S ITALIAN CAFE,Routine,12/07/2017,80,75219,3810 CONGRESS AVE #109,Dec 2017,FY2018
ELEMENT BY WESTIN (PREP KITCHEN),Routine,02/07/2019,96,75204,4005 GASTON AVE,Feb 2019,FY2019
BOWL & BARREL,Routine,12/26/2018,91,75231,8084 PARK LN STE B145,Dec 2018,FY2019
LUPITA CAFE,Routine,07/23/2018,86,75238,11111 WALNUT HILL LN #104,Jul 2018,FY2018
GINGER THAI RESTAURANT,Routine,02/15/2018,86,75214,6434 E MOCKINGBIRD LN #111,Feb 2018,FY2018
MECHITA'S FRUTERIA,Routine,10/21/2016,82,75211,735 N WESTMORELAND RD #107 #108,Oct 2016,FY2017
YOGURTLAND,Routine,08/21/2017,95,75225,7700 W NORTHWEST HWY #220,Aug 2017,FY2017
PANERA BREAD,Routine,06/19/2018,97,75230,11661 PRESTON RD #222,Jun 2018,FY2018
SALUM RESTAURANT,Routine,12/05/2017,91,75204,4152 COLE AVE 103,Dec 2017,FY2018
DELI,Routine,04/11/2017,94,75204,4241 CAPITOL AVE,Apr 2017,FY2017
THE WHISTLING PIG,Routine,02/02/2017,87,75228,8786 FERGUSON RD #133,Feb 2017,FY2017
ALONTI CAFE & CATERING,Routine,10/25/2016,97,75243,11411 N CENTRAL EXPW,Oct 2016,FY2017
OK BEER & WINE,Routine,09/20/2017,92,75223,1101 S BEACON ST #100,Sep 2017,FY2017
CHICKEN & RICE,Routine,04/15/2019,93,75227,2902 S BUCKNER BLVD,Apr 2019,FY2019
CAPTIN BILL'S SEAFOOD,Routine,05/23/2018,97,75215,3007 MLK BLVD,May 2018,FY2018
POLLO REGIO,Routine,08/17/2018,80,75204,4416 LIVE OAK ST,Aug 2018,FY2018
COURTYARD DALLAS MEDICAL/MARKET CENTER,Routine,01/09/2019,94,75207,2150 MARKET CENTER BLVD,Jan 2019,FY2019
CVS PHARMACY,Routine,08/17/2018,95,75224,2323 W ILLINOIS AVE,Aug 2018,FY2018
EL PAISANO,Routine,11/27/2017,70,75220,2911 LOMBARDY LN #101,Nov 2017,FY2018
"WEISS ENTERPRISES, INC",Routine,11/29/2016,96,75226,831 FOURTH ST,Nov 2016,FY2017
SUSHI ZUSHI,Routine,07/12/2018,86,75238,3636 MCKINNEY AVE 150,Jul 2018,FY2018
THE DONUT PALACE,Routine,03/26/2019,90,75237,4330 GANNON LN #D,Mar 2019,FY2019
WINGSTOP,Routine,03/11/2017,94,75231,10910 N CENTRAL EXPW #500,Mar 2017,FY2017
RESTAURANT EY TIENDA ELMANA #2 PANADERIA,Routine,04/20/2017,74,75229,11055 DENNIS RD #24,Apr 2017,FY2017
AM DONUT AND COFFEE,Follow-up,09/06/2018,84,75224,115 W ILLINOIS AVE,Sep 2018,FY2018
PACIUGO GELATO & CAFFE,Routine,09/28/2017,96,75204,3699 MCKINNEY AVE #101B,Sep 2017,FY2017
WALMART #3406 / MEAT & SEAFOOD,Routine,12/01/2016,98,75240,15220 MONTFORT DR,Dec 2016,FY2017
PHILLY TOWN,Routine,10/04/2017,80,75201,600 N PEARL EXPW #G103,Oct 2017,FY2018
THIRSTY'S,Routine,02/23/2017,100,75240,13350 DALLAS PKWY #3585,Feb 2017,FY2017
MEDUSA #1,Routine,09/27/2018,99,75201,1930 PACIFIC AVE,Sep 2018,FY2018
THE DEN & RUMOR LOUNGE ROOF TOP BAR,Routine,02/24/2017,92,75204,2710 MCKINNEY AVE B,Feb 2017,FY2017
TORTAS LAS TORTUGAS,Routine,03/28/2018,80,75208,235 W CENTRE ST,Mar 2018,FY2018
DALLAS CAN ACADEMY CHARTER SCHOOL,Routine,05/08/2017,97,75208,325 W TWELFTH ST,May 2017,FY2017
LA MICHOACANA MEAT MARKET BAKERY,Routine,09/05/2017,90,75240,8282 W SPRING VALLEY RD,Sep 2017,FY2017
RESTAURANTE EL SALVADORENO,Routine,03/22/2017,85,75235,8414 DENTON DR,Mar 2017,FY2017
EAST BOUND AND DOWN ICE HOUSE,Routine,10/20/2016,98,75204,3826 ROSS AVE,Oct 2016,FY2017
WOLFGANG PUCK LEVEL 18 YAKATORI & SUSHI BAR,Routine,04/07/2017,90,75202,300 REUNION BLVD E,Apr 2017,FY2017
IRON CACTUS MEXICAN MAR,Routine,10/06/2017,88,75201,1520 MAIN ST 1ST F,Oct 2017,FY2018
LUCKY TEXAS #2 / TAQUERIA,Routine,01/23/2018,80,75224,3603 MARVIN D LOVE FRWY #100,Jan 2018,FY2018
LOS 3 MAS TAQUEROS,Routine,04/04/2018,77,75224,2643 S HAMPTON RD,Apr 2018,FY2018
BERTA'S RESTAURANTE Y PANADERIA,Routine,05/23/2018,88,75229,11363 DENTON DR #207,May 2018,FY2018
THE MARKET@ CITY PLACE,Follow-up,02/27/2019,85,75204,2711 N HASKELL AVE #C2,Feb 2019,FY2019
PASTELERIA COMONFORT,Routine,04/26/2017,94,75220,3701 W NORTHWEST HWY #190,Apr 2017,FY2017
BANQUET HALL - 9TH FLOOR,Routine,05/09/2018,98,75243,13111 N CENTRAL EXPW,May 2018,FY2018
BRICK & BONES,Routine,06/27/2018,94,75226,2713 ELM ST,Jun 2018,FY2018
EL PALMARAS NIGHT CLUB,Routine,01/05/2018,90,75223,3610 SAMUELL BLVD,Jan 2018,FY2018
DALLAS RENAISSANCE HOTEL/BANQUET KITCHEN,Routine,12/20/2017,90,75207,2222 N STEMMONS FRWY,Dec 2017,FY2018
JACK IN THE BOX,Routine,02/08/2019,96,75254,14219 COIT RD,Feb 2019,FY2019
CRU FOOD & WINE BAR,Routine,01/13/2017,84,75235,8008 CEDAR SPRINGS RD C2261,Jan 2017,FY2017
WINGSTOP,Routine,07/27/2017,98,75248,15212 MONTFORT DR 314,Jul 2017,FY2017
MI COCINA,Routine,01/10/2017,84,75230,11661 PRESTON RD #138,Jan 2017,FY2017
MEDIEVAL TIME (KITCHEN),Routine,10/08/2018,98,75207,2021 N STEMMONS FRWY,Oct 2018,FY2019
TERRACE #5038 FAST BREAK 324,Routine,02/13/2018,94,75201,2500 VICTORY AVE TERR #5038,Feb 2018,FY2018
DOMINO'S PIZZA #6911,Routine,09/18/2017,85,75225,6045 SHERRY LN,Sep 2017,FY2017
OLGA'S RESTAURANT,Routine,05/27/2017,94,75207,520 CORINTH ST,May 2017,FY2017
ROSEWOOD MANSION ON TURTLE CREEK-SERVICE KITCHEN,Routine,10/17/2018,88,75219,2821 TURTLE CREEK BLVD,Oct 2018,FY2019
DOLLAR GENERAL,Routine,11/28/2018,99,75253,2511 S BELTLINE RD,Nov 2018,FY2019
MURPHY'S DELI #2,Routine,11/01/2017,89,75243,12001 N CENTRAL EXPW #295,Nov 2017,FY2018
CARMEN'S RESTAURANT,Routine,12/20/2017,82,75212,4717 SINGLETON BLVD,Dec 2017,FY2018
JIMMY JOHN'S,Routine,08/07/2018,80,75204,4201 GASTON AVE #112,Aug 2018,FY2018
HONG KONG MARKET SEAFOOD,Routine,12/02/2016,91,75243,9780 WALNUT ST #360,Dec 2016,FY2017
PRESS BOX GRILL,Routine,03/27/2018,94,75201,1623 MAIN ST #101,Mar 2018,FY2018
SMITH HIGH SCHOOL,Routine,09/19/2018,96,75241,3030 STAG RD,Sep 2018,FY2018
EL FENIX,Routine,01/17/2017,80,75229,240 WEBB CHAPEL VILLAGE S/C,Jan 2017,FY2017
HOLIDAY INN EXPRESS,Routine,11/15/2018,76,75243,9089 VANTAGE POINT DR,Nov 2018,FY2019
PIE TAP DESIGN DISTRICT LLC,Routine,06/14/2018,94,75207,1212 OAK LAWN AVE #131,Jun 2018,FY2018
TREES,Routine,12/30/2016,97,75226,2709 ELM ST,Dec 2016,FY2017
CANE'S DELI,Follow-up,03/21/2019,85,75230,12810 HILLCREST RD #107,Mar 2019,FY2019
KROGER #518 MEAT/SEAFOOD,Routine,03/13/2018,92,75206,5665 E MOCKINGBIRD LN,Mar 2018,FY2018
PIZZA GETTI,Routine,10/04/2016,91,75228,3302 N BUCKNER BLVD #108,Oct 2016,FY2017
CHIPOTLE MEXICAN GRILL,Routine,10/27/2016,99,75204,2705 MCKINNEY AVE,Oct 2016,FY2017
STELLA NORA,Routine,10/21/2017,91,75206,1928 GREENVILLE AVE,Oct 2017,FY2018
SUMMER SNOW BALLS,Routine,10/18/2018,93,75231,10455 N CENTRAL EXPW STE 102,Oct 2018,FY2019
YAMA SUSHI JAPANESE RESTAURANT,Routine,03/22/2018,71,75243,8989 FOREST LN STE #112,Mar 2018,FY2018
STOP & SHOP #2,Routine,07/28/2017,90,752096384,5328 LEMMON AVE,Jul 2017,FY2017
RESTAURANT Y TACOS EL CHINO,Routine,10/17/2016,93,75220,9748 BROCKBANK DR #100,Oct 2016,FY2017
YOGIS,Routine,01/29/2018,85,75228,8155 S RL THORNTON FRWY #150,Jan 2018,FY2018
WYNDHAM DALLAS SUITES,Routine,06/15/2017,92,75240,7800 ALPHA RD,Jun 2017,FY2017
GAZEEBO BURGER,Routine,10/25/2016,86,75230,5950 ROYAL LN #C,Oct 2016,FY2017
FAMILY DOLLAR #1606,Routine,02/20/2018,86,75224,3939 S POLK ST 216,Feb 2018,FY2018
URBANO SPORTS AND GRILL,Routine,03/29/2018,96,75235,8410 HARRY HINES BLVD,Mar 2018,FY2018
THE SOUTHERN CROSS,Routine,05/31/2017,94,75217,1800 DOWDY FERRY RD,May 2017,FY2017
FAMILY DOLLAR #2141,Routine,12/29/2018,94,75217,10121 LAKE JUNE RD #400,Dec 2018,FY2019
MALARKEY'S,Routine,03/18/2018,87,75287,4460 TRINITY MILLS RD 100,Mar 2018,FY2018
BO'S CHICKEN & SEAFOOD,Routine,06/10/2017,93,75243,9792 FOREST LN #A,Jun 2017,FY2017
ONE STOP FOOD STORE,Routine,10/27/2016,83,75232,5520 S HAMPTON RD,Oct 2016,FY2017
FORMOSA EXPRESS,Routine,10/17/2018,84,75227,5405 N JIM MILLER RD,Oct 2018,FY2019
DOMINO'S PIZZA #6968,Routine,01/19/2017,91,75248,15203 KNOLL TRAIL DR #115,Jan 2017,FY2017
MUGHLAI RESTAURANT,Routine,08/07/2017,70,75240,5301 ALPHA RD #14,Aug 2017,FY2017
IFRATELLI PIZZA,Routine,07/19/2017,85,75220,4235 W NORTHWEST HWY #700,Jul 2017,FY2017
CHICKEN EXPRESS,Routine,08/17/2017,97,75209,6124 LEMMON AVE,Aug 2017,FY2017
STACKHOUSE BURGERS,Routine,06/27/2017,79,75226,2917 GASTON AVE,Jun 2017,FY2017
AZ FOOD MART,Routine,12/02/2016,94,75203,300 S MARSALIS AVE,Dec 2016,FY2017
